RULE,USER_ID,HIT_DATE,USER_LEVEL,USER_LEVEL_BADRATE,USER_TARGET
授信通过,ID20261120004467,2026-10-01,1,20.00%,1
授信通过,ID20261119001974,2026-10-01,1,20.00%,1
授信通过,ID20261116003965,2026-10-01,1,20.00%,1
授信通过,ID20261120002631,2026-10-01,1,20.00%,1
授信通过,ID20261116003919,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261116007161,2026-10-01,1,20.00%,1
授信通过,ID20261118004502,2026-10-01,1,20.00%,1
授信通过,ID20261120001956,2026-10-01,1,20.00%,1
授信通过,ID20261120005292,2026-10-01,1,20.00%,1
授信通过,ID20261119002359,2026-10-01,1,20.00%,1
授信通过,ID20261120002984,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261116003323,2026-10-01,1,20.00%,1
授信通过,ID20261120001827,2026-10-01,1,20.00%,1
授信通过,ID20261120002051,2026-10-01,1,20.00%,1
授信通过,ID20261120004559,2026-10-01,1,20.00%,1
授信通过,ID20261120002440,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261118003390,2026-10-01,1,20.00%,1
授信通过,ID20261121001642,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261119002623,2026-10-01,1,20.00%,1
授信通过,ID20261119002450,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261116004999,2026-10-01,1,20.00%,1
授信通过,ID20261119007987,2026-10-01,1,20.00%,1
授信通过,ID20261119003184,2026-10-01,1,20.00%,1
授信通过,ID20261121002290,2026-10-01,1,20.00%,1
百度欺诈分>=90,ID20261116002638,2026-10-01,1,20.00%,1
授信通过,ID20261120005134,2026-10-01,1,20.00%,1
授信通过,ID20261116009115,2026-10-01,1,20.00%,1
授信通过,ID20261115005025,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115005904,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115009378,2026-10-01,1,20.00%,1
授信通过,ID20261115009381,2026-10-01,1,20.00%,1
授信通过,ID20261115007229,2026-10-01,1,20.00%,1
授信通过,ID20261115010367,2026-10-01,1,20.00%,1
百度欺诈分>=90,ID20261115007704,2026-10-01,1,20.00%,1
授信通过,ID20261117004008,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261118006463,2026-10-01,1,20.00%,0
百度欺诈分>=90,ID20261118002100,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261117002720,2026-10-01,1,20.00%,1
授信通过,ID20261117003848,2026-10-01,1,20.00%,1
百度欺诈分>=90,ID20261118007187,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261118007187,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261118002786,2026-10-01,1,20.00%,0
授信通过,ID20261118005779,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261118005279,2026-10-01,1,20.00%,1
授信通过,ID20261118008130,2026-10-01,1,20.00%,1
授信通过,ID20261118007562,2026-10-01,1,20.00%,1
授信通过,ID20261118003000,2026-10-01,1,20.00%,1
授信通过,ID20261118006445,2026-10-01,1,20.00%,1
授信通过,ID20261115003958,2026-10-01,1,20.00%,1
授信通过,ID20261115004087,2026-10-01,1,20.00%,1
授信通过,ID20261118003797,2026-10-01,1,20.00%,1
授信通过,ID20261118003883,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261117004955,2026-10-01,1,20.00%,1
授信通过,ID20261115008050,2026-10-01,1,20.00%,1
授信通过,ID20261117005520,2026-10-01,1,20.00%,1
授信通过,ID20261117007846,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261117007597,2026-10-01,1,20.00%,1
授信通过,ID20261117007581,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261117007688,2026-10-01,1,20.00%,1
授信通过,ID20261117007741,2026-10-01,1,20.00%,1
授信通过,ID20261115004215,2026-10-01,1,20.00%,1
授信通过,ID20261123000195,2026-12-01,1,20.00%,1
授信通过,ID20261117006096,2026-10-01,1,20.00%,1
授信通过,ID20261123000194,2026-12-01,1,20.00%,1
授信通过,ID20261124009637,2026-12-01,1,20.00%,1
授信通过,ID20261124004834,2026-12-01,1,20.00%,1
授信通过,ID20261123000215,2026-12-01,1,20.00%,1
授信通过,ID20261121012239,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261121011877,2026-10-01,1,20.00%,1
百度欺诈分>=90,ID20261122004217,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261124000679,2026-12-01,1,20.00%,1
授信通过,ID20261123002047,2026-12-01,1,20.00%,1
授信通过,ID20261123002102,2026-12-01,1,20.00%,1
授信通过,ID20261124011586,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261123002421,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261123003928,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261124004494,2026-12-01,1,20.00%,1
授信通过,ID20261121003212,2026-10-01,1,20.00%,1
授信通过,ID20261122002912,2026-12-01,1,20.00%,1
授信通过,ID20261123007355,2026-12-01,1,20.00%,1
授信通过,ID20261123009394,2026-12-01,1,20.00%,1
授信通过,ID20261123002246,2026-12-01,1,20.00%,1
授信通过,ID20261123000209,2026-12-01,1,20.00%,1
授信通过,ID20261124007305,2026-12-01,1,20.00%,1
授信通过,ID20261124001600,2026-12-01,1,20.00%,1
授信通过,ID20261124004043,2026-12-01,1,20.00%,1
授信通过,ID20261124005812,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261123000225,2026-12-01,1,20.00%,1
授信通过,ID20261122004189,2026-12-01,1,20.00%,1
授信通过,ID20261124002737,2026-12-01,1,20.00%,1
授信通过,ID20261123000058,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261122004097,2026-12-01,1,20.00%,1
授信通过,ID20261123007896,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261124008001,2026-12-01,1,20.00%,1
授信通过,ID20261121004509,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261123009118,2026-12-01,1,20.00%,1
授信通过,ID20261121003886,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261123000485,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261124003370,2026-12-01,1,20.00%,1
授信通过,ID20261123008363,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261121001883,2026-10-01,1,20.00%,1
授信通过,ID20261124001363,2026-12-01,1,20.00%,1
授信通过,ID20261123010527,2026-12-01,1,20.00%,1
授信通过,ID20261122010506,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261122010185,2026-12-01,1,20.00%,1
授信通过,ID20261121007642,2026-10-01,1,20.00%,1
授信通过,ID20261122005724,2026-12-01,1,20.00%,1
授信通过,ID20261122010080,2026-12-01,1,20.00%,1
授信通过,ID20261122007156,2026-12-01,1,20.00%,1
授信通过,ID20261124001509,2026-12-01,1,20.00%,1
授信通过,ID20261124004373,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261121002787,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261121006622,2026-10-01,1,20.00%,1
授信通过,ID20261122003237,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261123008137,2026-12-01,1,20.00%,0
授信通过,ID20261123007297,2026-12-01,1,20.00%,1
授信通过,ID20261125011069,2026-12-01,1,20.00%,1
授信通过,ID20261125011238,2026-12-01,1,20.00%,1
授信通过,ID20261125005159,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261125010152,2026-12-01,1,20.00%,1
授信通过,ID20261125005787,2026-12-01,1,20.00%,1
授信通过,ID20261125011177,2026-12-01,1,20.00%,1
授信通过,ID20261125003142,2026-12-01,1,20.00%,1
授信通过,ID20261125000933,2026-12-01,1,20.00%,1
授信通过,ID20261125000448,2026-12-01,1,20.00%,1
授信通过,ID20261125010709,2026-12-01,1,20.00%,1
授信通过,ID20261125009938,2026-12-01,1,20.00%,1
授信通过,ID20261125003651,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261125000565,2026-12-01,1,20.00%,1
授信通过,ID20261125010006,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261125005642,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261125008532,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128003565,2026-12-01,1,20.00%,0
授信通过,ID20261128008348,2026-12-01,1,20.00%,1
授信通过,ID20261128004685,2026-12-01,1,20.00%,1
授信通过,ID20261128004502,2026-12-01,1,20.00%,1
授信通过,ID20261128003480,2026-12-01,1,20.00%,1
授信通过,ID20261128000950,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128000885,2026-12-01,1,20.00%,0
授信通过,ID20261128007240,2026-12-01,1,20.00%,1
授信通过,ID20261128000409,2026-12-01,1,20.00%,1
授信通过,ID20261128000429,2026-12-01,1,20.00%,1
授信通过,ID20261128003760,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261128004105,2026-12-01,1,20.00%,0
授信通过,ID20261128000415,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261128003647,2026-12-01,1,20.00%,1
授信通过,ID20261128006031,2026-12-01,1,20.00%,1
授信通过,ID20261128000057,2026-12-01,1,20.00%,1
授信通过,ID20261128000768,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261128003752,2026-12-01,1,20.00%,1
授信通过,ID20261128000182,2026-12-01,1,20.00%,1
授信通过,ID20261127006944,2026-12-01,1,20.00%,1
授信通过,ID20261126007000,2026-12-01,1,20.00%,1
授信通过,ID20261126007267,2026-12-01,1,20.00%,1
授信通过,ID20261126003860,2026-12-01,1,20.00%,1
授信通过,ID20261126004903,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127012054,2026-12-01,1,20.00%,0
授信通过,ID20261126004982,2026-12-01,1,20.00%,1
授信通过,ID20261127004889,2026-12-01,1,20.00%,1
授信通过,ID20261127007668,2026-12-01,1,20.00%,1
授信通过,ID20261126000341,2026-12-01,1,20.00%,1
授信通过,ID20261126008111,2026-12-01,1,20.00%,1
授信通过,ID20261127009453,2026-12-01,1,20.00%,1
授信通过,ID20261126002105,2026-12-01,1,20.00%,1
授信通过,ID20261127011325,2026-12-01,1,20.00%,1
授信通过,ID20261126000548,2026-12-01,1,20.00%,1
授信通过,ID20261126006638,2026-12-01,1,20.00%,1
授信通过,ID20261127007410,2026-12-01,1,20.00%,1
授信通过,ID20261127003033,2026-12-01,1,20.00%,1
授信通过,ID20261126006634,2026-12-01,1,20.00%,1
授信通过,ID20261126007098,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127007274,2026-12-01,1,20.00%,0
授信通过,ID20261127011093,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261127002325,2026-12-01,1,20.00%,0
授信通过,ID20261126011018,2026-12-01,1,20.00%,1
授信通过,ID20261127002052,2026-12-01,1,20.00%,1
授信通过,ID20261126009530,2026-12-01,1,20.00%,1
授信通过,ID20261127010854,2026-12-01,1,20.00%,1
授信通过,ID20261127003786,2026-12-01,1,20.00%,1
授信通过,ID20261126000980,2026-12-01,1,20.00%,1
授信通过,ID20261126003927,2026-12-01,1,20.00%,1
阿里欺诈分>=95,ID20261126010369,2026-12-01,1,20.00%,1
授信通过,ID20261127000915,2026-12-01,1,20.00%,1
授信通过,ID20261127004953,2026-12-01,1,20.00%,1
授信通过,ID20261126006746,2026-12-01,1,20.00%,1
百度欺诈分>=90,ID20261127006590,2026-12-01,1,20.00%,1
授信通过,ID20261126006765,2026-12-01,1,20.00%,1
授信通过,ID20261127000967,2026-12-01,1,20.00%,1
授信通过,ID20261127012114,2026-12-01,1,20.00%,1
授信通过,ID20261127008091,2026-12-01,1,20.00%,1
授信通过,ID20261127000701,2026-12-01,1,20.00%,1
授信通过,ID20261127011439,2026-12-01,1,20.00%,1
授信通过,ID20261126011828,2026-12-01,1,20.00%,1
授信通过,ID20261126007191,2026-12-01,1,20.00%,1
授信通过,ID20261126011139,2026-12-01,1,20.00%,1
授信通过,ID20261126011466,2026-12-01,1,20.00%,1
授信通过,ID20261124011368,2026-12-01,1,20.00%,1
授信通过,ID20261120008446,2026-10-01,1,20.00%,1
授信通过,ID20261116003912,2026-10-01,1,20.00%,1
授信通过,ID20261120002355,2026-10-01,1,20.00%,1
授信通过,ID20261118002939,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261120002990,2026-10-01,1,20.00%,1
授信通过,ID20261116005122,2026-10-01,1,20.00%,1
授信通过,ID20261119004488,2026-10-01,1,20.00%,1
授信通过,ID20261116004734,2026-10-01,1,20.00%,1
授信通过,ID20261120004777,2026-10-01,1,20.00%,1
授信通过,ID20261120004275,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261116005355,2026-10-01,1,20.00%,1
授信通过,ID20261116005372,2026-10-01,1,20.00%,1
授信通过,ID20261116007290,2026-10-01,1,20.00%,1
授信通过,ID20261116005402,2026-10-01,1,20.00%,1
授信通过,ID20261120005483,2026-10-01,1,20.00%,1
授信通过,ID20261120001913,2026-10-01,1,20.00%,1
授信通过,ID20261116005136,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261116005033,2026-10-01,1,20.00%,1
授信通过,ID20261119006302,2026-10-01,1,20.00%,1
授信通过,ID20261120003427,2026-10-01,1,20.00%,1
授信通过,ID20261120002685,2026-10-01,1,20.00%,1
授信通过,ID20261116009393,2026-10-01,1,20.00%,1
授信通过,ID20261120007272,2026-10-01,1,20.00%,1
授信通过,ID20261120001655,2026-10-01,1,20.00%,1
授信通过,ID20261116003942,2026-10-01,1,20.00%,1
授信通过,ID20261120008265,2026-10-01,1,20.00%,1
授信通过,ID20261119003555,2026-10-01,1,20.00%,1
授信通过,ID20261120003484,2026-10-01,1,20.00%,1
授信通过,ID20261116003265,2026-10-01,1,20.00%,1
授信通过,ID20261119005159,2026-10-01,1,20.00%,1
授信通过,ID20261120005628,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261121012000,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261115004446,2026-10-01,1,20.00%,1
授信通过,ID20261121011312,2026-10-01,1,20.00%,1
授信通过,ID20261116008289,2026-10-01,1,20.00%,1
百度欺诈分>=90,ID20261121002681,2026-10-01,1,20.00%,1
授信通过,ID20261121002098,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261120004707,2026-10-01,1,20.00%,1
授信通过,ID20261115005552,2026-10-01,1,20.00%,1
授信通过,ID20261117002842,2026-10-01,1,20.00%,1
授信通过,ID20261121009484,2026-10-01,1,20.00%,1
授信通过,ID20261115007557,2026-10-01,1,20.00%,1
授信通过,ID20261115008734,2026-10-01,1,20.00%,1
授信通过,ID20261117008510,2026-10-01,1,20.00%,1
授信通过,ID20261117003528,2026-10-01,1,20.00%,1
授信通过,ID20261117002846,2026-10-01,1,20.00%,1
授信通过,ID20261118002337,2026-10-01,1,20.00%,1
授信通过,ID20261117007781,2026-10-01,1,20.00%,1
授信通过,ID20261117004262,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261118002813,2026-10-01,1,20.00%,1
授信通过,ID20261117008298,2026-10-01,1,20.00%,1
授信通过,ID20261118007386,2026-10-01,1,20.00%,1
授信通过,ID20261118007984,2026-10-01,1,20.00%,1
授信通过,ID20261118002264,2026-10-01,1,20.00%,1
授信通过,ID20261118008553,2026-10-01,1,20.00%,1
授信通过,ID20261118005724,2026-10-01,1,20.00%,1
阿里欺诈分>=95,ID20261118002718,2026-10-01,1,20.00%,1
授信通过,ID20261117002785,2026-10-01,1,20.00%,1
授信通过,ID20261117007177,2026-10-01,1,20.00%,1
